V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,1,1,1
48,48,48,48,48,48,48,48,48,48,48,48,48,25,25,25,1,1,1
31,31,31,31,31,31,25,25,25,25,25,25,25,25,25,25,1,1,1
